paradigm,visibility,stim_type,voltage,sub_num
masking,visible,f,-3.43211107610693,sub10
masking,visible,f,0.203960420547009,sub11
masking,visible,f,0.122371709237429,sub12
masking,visible,f,-1.91447098902317,sub14
masking,visible,f,-0.0357659127030675,sub15
masking,visible,f,3.64206261376752,sub16
masking,visible,f,0.526798529900602,sub17
masking,visible,f,0.961078458588768,sub18
masking,visible,f,-1.0616447321485,sub1
masking,visible,f,-0.864702296037612,sub3
masking,visible,f,-3.02604765777847,sub5
masking,visible,f,7.18377087724094,sub6
masking,visible,f,-0.382300865344766,sub7
masking,visible,f,1.88131749327372,sub8
masking,visible,f,1.38476168334208,sub9
masking,visible,h,-2.32076331955941,sub10
masking,visible,h,1.88760917474264,sub11
masking,visible,h,1.27320062808809,sub12
masking,visible,h,-1.23236752426008,sub14
masking,visible,h,-0.152545923696979,sub15
masking,visible,h,4.43891072684309,sub16
masking,visible,h,-0.278633636325776,sub17
masking,visible,h,1.15541975957905,sub18
masking,visible,h,-0.0547084066495063,sub1
masking,visible,h,0.00758645501711724,sub3
masking,visible,h,-2.00672061758683,sub5
masking,visible,h,7.55557679029975,sub6
masking,visible,h,-0.0618732351798554,sub7
masking,visible,h,2.37956082715831,sub8
masking,visible,h,1.29185640065042,sub9
masking,invisible,f,0.453805475277304,sub10
masking,invisible,f,-0.333367524628634,sub11
masking,invisible,f,0.45367639578642,sub12
masking,invisible,f,-0.0971797919119941,sub14
masking,invisible,f,-1.11392479661471,sub15
masking,invisible,f,1.73238211989904,sub16
masking,invisible,f,-1.26789085765978,sub17
masking,invisible,f,0.0878701516602324,sub18
masking,invisible,f,-0.704052793680274,sub1
masking,invisible,f,-1.1452796238373,sub3
masking,invisible,f,0.430385036502717,sub5
masking,invisible,f,-0.228646226082814,sub6
masking,invisible,f,0.717148500309713,sub7
masking,invisible,f,-1.21728638120021,sub8
masking,invisible,f,0.174249098490203,sub9
masking,invisible,h,0.611508960125596,sub10
masking,invisible,h,-0.909131423362169,sub11
masking,invisible,h,-0.122018963460656,sub12
masking,invisible,h,-0.221136070235266,sub14
masking,invisible,h,-0.720344766486566,sub15
masking,invisible,h,1.20459745062874,sub16
masking,invisible,h,-0.987725556652655,sub17
masking,invisible,h,0.192229207132639,sub18
masking,invisible,h,0.523674524500801,sub1
masking,invisible,h,-0.648926240360284,sub3
masking,invisible,h,0.39583133536559,sub5
masking,invisible,h,-0.628906595951035,sub6
masking,invisible,h,1.31859579740283,sub7
masking,invisible,h,-1.8922316837268,sub8
masking,invisible,h,-0.00478739033648154,sub9
DCF,visible,f,-3.52523870978925,sub10
DCF,visible,f,-1.44218403256531,sub11
DCF,visible,f,-0.296335208350409,sub12
DCF,visible,f,-1.7189955966792,sub14
DCF,visible,f,-1.56656930776971,sub15
DCF,visible,f,1.97155665200065,sub16
DCF,visible,f,0.203569381914691,sub17
DCF,visible,f,-0.843323720854005,sub18
DCF,visible,f,-1.71819362991739,sub1
DCF,visible,f,-1.77859567256926,sub5
DCF,visible,f,-3.31426626417682,sub6
DCF,visible,f,-7.6283562753065,sub7
DCF,visible,f,-0.931697318142477,sub8
DCF,visible,f,0.914930845631383,sub9
DCF,visible,h,-4.24635747439264,sub10
DCF,visible,h,-0.822872928536348,sub11
DCF,visible,h,-0.0525301901666159,sub12
DCF,visible,h,-1.46377332015544,sub14
DCF,visible,h,-1.66260453943458,sub15
DCF,visible,h,0.986084091524685,sub16
DCF,visible,h,1.67032989200002,sub17
DCF,visible,h,-1.34360982040927,sub18
DCF,visible,h,-1.70990906847574,sub1
DCF,visible,h,-1.10043434937209,sub5
DCF,visible,h,-2.6764421917189,sub6
DCF,visible,h,-5.52744478533639,sub7
DCF,visible,h,-0.26474221003,sub8
DCF,visible,h,0.213376373743151,sub9
DCF,invisible,f,-2.62114840555912,sub10
DCF,invisible,f,-1.24033106070907,sub11
DCF,invisible,f,0.177513823742264,sub12
DCF,invisible,f,-1.13555559411815,sub14
DCF,invisible,f,-0.408888617011901,sub15
DCF,invisible,f,1.22642667360862,sub16
DCF,invisible,f,0.833756174218497,sub17
DCF,invisible,f,-0.855126755379593,sub18
DCF,invisible,f,-0.191639312412815,sub1
DCF,invisible,f,-1.83651332105323,sub5
DCF,invisible,f,-2.60759889717632,sub6
DCF,invisible,f,-4.9481347410102,sub7
DCF,invisible,f,1.33587602227922,sub8
DCF,invisible,f,0.705993736518947,sub9
DCF,invisible,h,-2.28723217345942,sub10
DCF,invisible,h,-0.979689405295701,sub11
DCF,invisible,h,0.213677214345712,sub12
DCF,invisible,h,-1.10352007471619,sub14
DCF,invisible,h,-0.580663643884019,sub15
DCF,invisible,h,2.16994976071184,sub16
DCF,invisible,h,2.04773460065244,sub17
DCF,invisible,h,-0.11908020679822,sub18
DCF,invisible,h,-1.00719540688407,sub1
DCF,invisible,h,-1.72415264906277,sub5
DCF,invisible,h,-1.03113681388138,sub6
DCF,invisible,h,-4.01659822699456,sub7
DCF,invisible,h,0.840963500426895,sub8
DCF,invisible,h,-0.00359565267558696,sub9
IB,invisible,f,2.5177904689634,sub1015
IB,invisible,f,4.9971669238032,sub1016
IB,invisible,f,2.26352579914129,sub11
IB,invisible,f,1.27763860982117,sub12
IB,invisible,f,9.28556670982563,sub16
IB,invisible,f,5.78926395408476,sub17
IB,invisible,f,8.56665216442941,sub18
IB,invisible,f,0.626248332255452,sub6
IB,invisible,f,-0.279507622594151,sub7
IB,invisible,f,5.16925793855405,sub9
IB,invisible,h,2.99416885085177,sub1015
IB,invisible,h,5.50462240039034,sub1016
IB,invisible,h,1.77258028661891,sub11
IB,invisible,h,1.55231524689439,sub12
IB,invisible,h,9.01308390318664,sub16
IB,invisible,h,6.38124849816707,sub17
IB,invisible,h,9.55786463461677,sub18
IB,invisible,h,0.507781774603135,sub6
IB,invisible,h,-0.511687284242811,sub7
IB,invisible,h,4.77216980074827,sub9
IB,visible,f,-0.163821481952371,sub1015
IB,visible,f,2.35842761520714,sub1016
IB,visible,f,3.13361230310893,sub11
IB,visible,f,1.88383787447592,sub12
IB,visible,f,8.05897220062606,sub16
IB,visible,f,7.30579263221355,sub17
IB,visible,f,8.28827755633866,sub18
IB,visible,f,-0.572587516095631,sub6
IB,visible,f,0.128060590768803,sub7
IB,visible,f,3.95807692860533,sub9
IB,visible,h,0.391274418359973,sub1015
IB,visible,h,4.2712907961016,sub1016
IB,visible,h,2.35175246462295,sub11
IB,visible,h,2.32849857624059,sub12
IB,visible,h,8.22099862538274,sub16
IB,visible,h,6.98575932946514,sub17
IB,visible,h,8.21910600928082,sub18
IB,visible,h,0.0167965170194847,sub6
IB,visible,h,-0.381011259303716,sub7
IB,visible,h,4.34107249711263,sub9
